Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Knobe S., Dzierma Y., Wenske M., Berdel C., Fleckenstein J., Melchior P., Palm J., Nuesken F.G., Hunt A., Engwer C., Surulescu C., Yilmaz U., Reith W., Rübe C.",Feasibility and clinical usefulness of modelling glioblastoma migration in adjuvant radiotherapy,,,2022,32,2,149-158,,0,,Zeitschrift fur Medizinische Physik,Elsevier GmbH,,,,,Article
"Seo Y., Kim S., Lee H.S., Park J., Lee K., Jun I., Seo H., Kim Y.J., Yoo Y., Choi B.C., Seok H.-K., Kim Y.-C., Ok M.-R., Choi J., Joo C.-K., Jeon H.",Femtosecond laser induced nano-textured micropatterning to regulate cell functions on implanted biomaterials,,,2020,116,1,138-148,,6,,Acta Biomaterialia,Acta Materialia Inc,,,,,Article
"Sun J., Stathopoulos A.",Fgf controls epithelial-mesenchymal transitions during gastrulation by regulating cell division and apicobasal polarity,,,2018,145,19,,,21,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Stehbens S. J., Ju R. J., Adams M. N., Perry S. R., Haass N. K., Bryant D. M., Pollock P. M.",FGFR2-activating mutations disrupt cell polarity to potentiate migration and invasion in endometrial cancer cell models,,,2018,131,15,,,12,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Bischoff M.C., Lieb S., Renkawitz-Pohl R., Bogdan S.",Filopodia-based contact stimulation of cell migration drives tissue morphogenesis,,,2021,12,1,,,7,,Nature Communications,Nature Research,,,,,Article
"Espina J.A., Barriga E.H.",Fine-tuning viscoelasticity: The key to collectively move in vivo,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,79-109,4,1,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Trenado C., Bonilla L.L., Martínez-Calvo A.","Fingering instability in spreading epithelial monolayers: roles of cell polarisation, substrate friction and contractile stresses",,,2021,17,36,8276-8290,,2,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Giavazzi F., Paoluzzi M., Macchi M., Bi D., Scita G., Manning M. L., Cerbino R., Marchetti M. C.",Flocking transitions in confluent tissues,,,2018,14,18,3471-3477,,67,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Nasir N.A.M., Paus R., Ansell D.M.",Fluorescent cell tracer dye permits real-time assessment of re-epithelialization in a serum-free ex vivo human skin wound assay,,,2019,27,1,126-133,,6,,Wound Repair and Regeneration,Blackwell Publishing Inc.,,,,,Article
"Gunawan F., Gentile A., Fukuda R., Tsedeke A.T., Jiménez-Amilburu V., Ramadass R., Iida A., Sehara-Fujisawa A., Stainier D.Y.R.",Focal adhesions are essential to drive zebrafish heart valve morphogenesis,,,2019,218,3,1039-1054,,25,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Ferrari A., Giampietro C.",Force and Collective Epithelial Activities,Cell Migrations: Causes and Functions,Cham,2019,1146,1,31-44,,0,"La Porta C. A. M., Zapperi S.",Advances in Experimental Medicine and Biology,Springer New York LLC,,,,,Book Chapter
"Schaumann E. N., Staddon M. F., Gardel M. L., Banerjee S.",Force localization modes in dynamic epithelial colonies,,,2018,29,23,2835-2847,,13,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Seddiki R., Narayana G. H. N. S., Strale P. -O., Balcioglu H. E., Peyret G., Yao M., Le A. P., Lim C. T., Yan J., Ladoux B., Mège R. M.",Force-dependent binding of vinculin to α-catenin regulates cell-cell contact stability and collective cell behavior,,,2018,29,4,380-388,,38,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Zhang J.-J., Cao C.-X., Wan L.-L., Zhang W., Liu Z.-J., Wang J.-L., Guo Q., Tang H.",Forkhead Box q1 promotes invasion and metastasis in colorectal cancer by activating the epidermal growth factor receptor pathway,,,2022,28,17,1781-1797,,0,,World Journal of Gastroenterology,Baishideng Publishing Group Inc,,,,,Article
"Courcoubetis G., Gangan M.S., Lim S., Guo X., Haas S., Boedicker J.Q.","Formation, collective motion, and merging of macroscopic bacterial aggregates",,,2022,18,1,,,0,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Liang S.-K., Hsu C.-C., Song H.-L., Huang Y.-C., Kuo C.-W., Yao X., Li C.-C., Yang H.-C., Hung Y.-L., Chao S.-Y., Wu S.-C., Tsai F.-R., Chen J.-K., Liao W.-N., Cheng S.-C., Tsou T.-C., Wang I.-C.",FOXM1 is required for small cell lung cancer tumorigenesis and associated with poor clinical prognosis,,,2021,40,30,4847-4858,,3,,Oncogene,Springer Nature,,,,,Article
"Rens E.G., Edelstein-Keshet L.",From energy to cellular forces in the Cellular Potts Model: An algorithmic approach,,,2019,15,12,,,15,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Plou J., Juste-Lanas Y., Olivares V., del Amo C., Borau C., García-Aznar J. M.",From individual to collective 3D cancer dissemination: roles of collagen concentration and TGF-β,,,2018,8,1,,,25,,Scientific Reports,Nature Publishing Group,,,,,Article
"Chepizhko O., Lionetti M. C., Malinverno C., Giampietro C., Scita G., Zapperi S., La Porta C. A. M.",From jamming to collective cell migration through a boundary induced transition,,,2018,14,19,3774-3782,,20,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Ogienko A.A., Yarinich L.A., Fedorova E.V., Dorogova N.V., Bayborodin S.I., Baricheva E.M., Pindyurin A.V.",Gaga regulates border cell migration in drosophila,,,2020,21,20,44577,,1,,International Journal of Molecular Sciences,MDPI AG,,,,,Article
"Lei D., Zhang F., Yao D., Xiong N., Jiang X., Zhao H.",Galangin increases ERK1/2 phosphorylation to decrease ADAM9 expression and prevents invasion in A172 glioma cells,,,2018,17,1,667-673,,11,,Molecular Medicine Reports,Spandidos Publications,,,,,Article
McCarrey J. R.,Gametogenesis overview,Brenner's Encyclopedia of Genetics,,2018,,,,,1,"Maloy S., Hughes K.",Encyclopedia of Reproduction,Elsevier,,,,9780128151457,Book Chapter
"Wang X., Enomoto A., Weng L., Mizutani Y., Abudureyimu S., Esaki N., Tsuyuki Y., Chen C., Mii S., Asai N., Haga H., Ishida S., Yokota K., Akiyama M., Takahashi M.",Girdin/GIV regulates collective cancer cell migration by controlling cell adhesion and cytoskeletal organization,,,2018,109,11,3643-3656,,15,,Cancer Science,Blackwell Publishing Ltd,,,,,Article
"Sano T., Kobayashi T., Ogawa O., Matsuda M.",Gliding Basal Cell Migration of the Urothelium during Wound Healing,,,2018,188,11,2564-2573,,7,,American Journal of Pathology,Elsevier Inc.,,,,,Article
"Han K., Wang F., Yue Y., Tan X., Tian M., Miao Y., Zhao S., Dong W., Yu M.",Glycomics reveal that ST6GAL1-mediated sialylation regulates uterine lumen closure during implantation,,,2022,55,1,,,0,,Cell Proliferation,John Wiley and Sons Inc,,,,,Article
"Zhu L., Feng R., Chen G., Wang C., Liu Z., Zhang Z., Chen H.",Glycopolymer Engineering of the Cell Surface Changes the Single Cell Migratory Direction and Inhibits the Collective Migration of Cancer Cells,,,2022,14,4,4921-4930,,0,,ACS Applied Materials and Interfaces,American Chemical Society,,,,,Article
"Wu Y., Ali M. R. K., Dong B., Han T., Chen K., Chen J., Tang Y., Fang N., Wang F., El-Sayed M. A.",Gold Nanorod Photothermal Therapy Alters Cell Junctions and Actin Network in Inhibiting Cancer Cell Collective Migration,,,2018,12,9,9279-9290,,72,,ACS Nano,American Chemical Society,,,,,Article
"Kashgari G., Venkatesh S., Refuerzo S., Pham B., Bayat A., Klein R.H., Ramos R., Ta A.P., Plikus M.V., Wang P.H., Andersen B.",GRHL3 activates FSCN1 to relax cell-cell adhesions between migrating keratinocytes during wound reepithelialization,,,2021,6,17,,,1,,JCI Insight,American Society for Clinical Investigation,,,,,Article
"Zhou H., Isozaki N., Fujimoto K., Yokokawa R.",Growth rate-dependent flexural rigidity of microtubules influences pattern formation in collective motion,,,2021,19,1,,,1,,Journal of Nanobiotechnology,BioMed Central Ltd,,,,,Article
"Tas R.P., Chen C.-Y., Katrukha E.A., Vleugel M., Kok M., Dogterom M., Akhmanova A., Kapitein L.C.",Guided by Light: Optical Control of Microtubule Gliding Assays,,,2018,18,12,7524-7528,,15,,Nano Letters,American Chemical Society,,,,,Article
"Zou J., Zhang Z., Xu F., Cui S., Qi C., Luo J., Wang Z., Lu X., Tu Z., Ren X., Song L., Ding K.","GZD2202, a novel TrkB inhibitor, suppresses BDNF-mediated proliferation and metastasis in neuroblastoma models",,,2019,27,4,442-450,,4,,Journal of Drug Targeting,Taylor and Francis Ltd,,,,,Article
"Balcerak A., Trebinska-Stryjewska A., Wakula M., Chmielarczyk M., Smietanka U., Rubel T., Konopinski R., Macech-Klicka E., Zub R., Grzybowska E.A.","HAX1 impact on collective cell migration, cell adhesion, and cell shape is linked to the regulation of actomyosin contractility",,,2019,30,25,3024-3036,,7,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Krzysiek-Maczka G., Wrobel T., Targosz A., Szczyrk U., Strzalka M., Ptak-Belowska A., Czyz J., Brzozowski T.",Helicobacter pylori-activated gastric fibroblasts induce epithelial-mesenchymal transition of gastric epithelial cells in vitro in a TGF-β-dependent manner,,,2019,24,5,,,12,,Helicobacter,Blackwell Publishing Ltd,,,,,Article
"Pora A., Yoon S., Windoffer R., Leube R.E.",Hemidesmosomes and Focal Adhesions Treadmill as Separate but Linked Entities during Keratinocyte Migration,,,2019,139,9,1876-1888,,12,,Journal of Investigative Dermatology,Elsevier B.V.,,,,,Article
"Zhou J., Papautsky I.",Heterogeneous inertial migration at single particle level in rectangular straight microfluidic channels,,,2018,4,1,2104-2106,,0,,"22nd International Conference on Miniaturized Systems for Chemistry and Life Sciences, MicroTAS 2018",Chemical and Biological Microsystems Society,22nd International Conference on Miniaturized Systems for Chemistry and Life Sciences,11-Nov-18,"Kaohsiung, Taiwan",9781510897571,Conference Paper
"Wang Z., Xu Y., Wang D., Yang J., Bao Z.",Hierarchical deep reinforcement learning reveals a modular mechanism of cell movement,,,2022,4,1,73-83,,0,,Nature Machine Intelligence,Nature Research,,,,,Article
"Asakura Y., Kondo Y., Aoki K., Naoki H.",Hierarchical modeling of mechano-chemical dynamics of epithelial sheets across cells and tissue,,,2021,11,1,,,0,,Scientific Reports,Nature Research,,,,,Article
"McCue S.W., Jin W., Moroney T.J., Lo K.-Y., Chou S.-E., Simpson M.J.",Hole-closing model reveals exponents for nonlinear degenerate diffusivity functions in cell biology,,,2019,398,1,130-140,,22,,Physica D: Nonlinear Phenomena,Elsevier B.V.,,,,,Article
"Liu X., Taftaf R., Kawaguchi M., Chang Y.-F., Chen W., Entenberg D., Zhang Y., Gerratana L., Huang S., Patel D.B., Tsui E., Adorno-Cruz V., Chirieleison S.M., Cao Y., Harney A.S., Patel S., Patsialou A., Shen Y., Avril S., Gilmore H.L., Lathia J.D., Abbott D.W., Cristofanilli M., Condeelis J.S., Liu H.",Homophilic CD44 interactions mediate tumor cell aggregation and polyclonal metastasis in patient-derived breast cancer models,,,2019,9,1,96-113,,126,,Cancer Discovery,American Association for Cancer Research Inc.,,,,,Article
"Khononov I., Jacob E., Fremder E., Dahan N., Harel M., Raviv Z., Krastev B., Shaked Y.",Host response to immune checkpoint inhibitors contributes to tumor aggressiveness,,,2021,9,3,,,3,,Journal for ImmunoTherapy of Cancer,BMJ Publishing Group,,,,,Article
"Evje S., Waldeland J.O.",How Tumor Cells Can Make Use of Interstitial Fluid Flow in a Strategy for Metastasis,,,2019,,,,,14,,Cellular and Molecular Bioengineering,Springer New York LLC,,,,,Article
"Li B., Jin M., Cao F., Li J., Wu J., Xu L., Liu X., Shi Y., Chen W.",Hsa_circ_0017639 expression promotes gastric cancer proliferation and metastasis by sponging miR-224-5p and upregulating USP3,,,2020,750,1,,,21,,Gene,Elsevier B.V.,,,,,Article
"Rieger J., Hopperdietzel C., Kaessmeyer S., Slosarek I., Diecke S., Richardson K., Plendl J.",Human and equine endothelial cells in a live cell imaging scratch assay in vitro,,,2019,70,4,495-509,,2,,Clinical Hemorheology and Microcirculation,IOS Press,,,,,Article
"Kim E.S., Choi J.Y., Hwang S.J., Bae I.H.",Hypermethylation of miR-205-5p by IR Governs Aggressiveness and Metastasis via Regulating Bcl-w and Src,,,2019,14,1,450-464,,9,,Molecular Therapy - Nucleic Acids,Cell Press,,,,,Article
"Cochet-Escartin O., Demircigil M., Hirose S., Allais B., Gonzalo P., Mikaelian I., Funamoto K., Anjard C., Calvez V., Rieu J.-P.",Hypoxia triggers collective aerotactic migration in dictyostelium discoideum,,,2021,10,1,,,5,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Liu Y.-H., Chen Y.-L., Lai T.-Y., Ko Y.-C., Chou Y.-F., Chen P.-R., Hsiao J.-R., Chang J.-Y., Shiah S.-G., Lee J.-W., Yang J.-L., Lin S.-F.",Identification of Prognostic Biomarkers Originating From the Tumor Stroma of Betel Quid-Associated Oral Cancer Tissues,,,2021,11,1,,,1,,Frontiers in Oncology,Frontiers Media S.A.,,,,,Article
"Volovetz J., Berezovsky A.D., Alban T., Chen Y., Lauko A., Aranjuez G.F., Burtscher A., Shibuya K., Silver D.J., Peterson J., Manor D., McDonald J.A., Lathia J.D.",Identifying conserved molecular targets required for cell migration of glioblastoma cancer stem cells,,,2020,11,2,,,11,,Cell Death and Disease,Springer Nature,,,,,Article
"Browning A.P., Jin W., Plank M.J., Simpson M.J.",Identifying density-dependent interactions in collective cell behaviour,,,2020,17,165,,,5,,Journal of the Royal Society Interface,Royal Society Publishing,,,,,Article
"Ardila D.C., Aggarwal V., Singh M., Chattopadhyay A., Chaparala S., Sant S.",Identifying molecular signatures of distinct modes of collective migration in response to the microenvironment using three-dimensional breast cancer models,,,2021,13,6,44588,,0,,Cancers,MDPI AG,,,,,Article
"Zhang Z., Zhu Y., Xu D., Li T.-E., Li J.-H., Xiao Z.-T., Chen M., Yang X., Jia H.-L., Dong Q.-Z., Qin L.-X.",IFN-a facilitates the effect of sorafenib via shifting the M2-like polarization of TAM in hepatocellular carcinoma,,,2021,13,1,301-313,,5,,American Journal of Translational Research,E-Century Publishing Corporation,,,,,Article
"Ding H., Guo W., Su B.",Imaging Cell-Matrix Adhesions and Collective Migration of Living Cells by Electrochemiluminescence Microscopy,,,2020,59,1,449-456,,62,,Angewandte Chemie - International Edition,Wiley-VCH Verlag,,,,,Article
"Xiao M.-C., Qian H., Huang C.-K., Zheng B.-N., Yan F.-Z., Liu F., Zhang X., Chen S.-J., Luo C., Xie W.-F.",Imatinib inhibits the malignancy of hepatocellular carcinoma by suppressing autophagy,,,2021,906,1,,,4,,European Journal of Pharmacology,Elsevier B.V.,,,,,Article
"Jain H.P., Wenzel D., Voigt A.",Impact of contact inhibition on collective cell migration and proliferation,,,2022,105,3,,,0,,Physical Review E,American Physical Society,,,,,Article
"Xu N., Ayers L., Pastukh V., Alexeyev M., Stevens T., Tambe D.T.",Impact of Na+ permeation on collective migration of pulmonary arterial endothelial cells,,,2021,16,44655,,,0,,PLoS ONE,Public Library of Science,,,,,Article
"Saraiva N., Nicolai M., Martins M., Almeida N., Gusmini M., Maurício E.M., Duarte M.P., Gonçalves M., Baby A.R., Fernandes A., Rosado C.","Impact of Portuguese propolis on keratinocyte proliferation, migration and ROS protection: Significance for applications in skin products",,,2022,,,,,0,,International Journal of Cosmetic Science,John Wiley and Sons Inc,,,,,Article
"Manguinhas R., Fernandes A.S., Costa J.G., Saraiva N., Camões S.P., Gil N., Rosell R., Castro M., Miranda J.P., Oliveira N.G.",Impact of the ape1 redox function inhibitor e3330 in non-small cell lung cancer cells exposed to cisplatin: Increased cytotoxicity and impairment of cell migration and invasion,,,2020,9,6,,,10,,Antioxidants,MDPI,,,,,Article
"Upmanyu N., Bulldan A., Papadopoulos D., Dietze R., Malviya V. N., Scheiner-Bobis G.",Impairment of the Gnα11-controlled expression of claudin-1 and MMP-9 and collective migration of human breast cancer MCF-7 cells by DHEAS,,,2018,182,1,50-61,,9,,Journal of Steroid Biochemistry and Molecular Biology,Elsevier Ltd,,,,,Article
"Miron A., Spinozzi D., Dhubhghaill S.N., Lie J.T., Oellerich S., Melles G.R.J.",In vitro endothelial cell migration from limbal edge-modified Quarter-DMEK grafts,,,2019,14,11,,,3,,PLoS ONE,Public Library of Science,,,,,Article
"Pinto B.I., Cruz N.D., Lujan O.R., Propper C.R., Kellar R.S.",In Vitro Scratch Assay to Demonstrate Effects of Arsenic on Skin Cell Migration,,,2019,,144,,,19,,Journal of visualized experiments : JoVE,NLM (Medline),,,,,Article
"Main K.A., Mikelis C.M., Doçi C.L.",In vitro wound healing assays to investigate epidermal migration,Epidermal Cells,,2020,2109,1,147-154,,7,Turksen K.,Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
